R-Strength,H-Strength,VP,Cities,Dev,Round,Winner
32,18,8,0,1,3,1
10,6,2,0,0,3,0
5,18,2,0,1,3,0
25,36,8,0,4,3,0
39,48,9,0,1,3,1
10,15,2,0,0,3,0
5,21,2,0,1,3,0
25,45,8,0,4,3,0
39,39,9,0,1,3,1
10,16,2,0,0,3,0
5,8,2,0,1,3,0
25,18,8,0,4,3,0
39,20,9,0,1,3,1
10,12,2,0,0,3,0
5,8,2,0,1,3,0
25,18,8,0,4,3,0
39,40,9,0,2,3,1
10,15,2,0,0,3,0
5,8,2,0,1,3,0
25,6,8,0,4,3,0
39,28,11,0,2,3,1
10,2,2,0,0,3,1
6,9,2,0,0,1,0
7,15,2,0,0,1,0
13,12,2,0,1,1,0
10,2,2,0,0,1,1
6,4,2,0,0,1,0
7,8,2,0,0,1,0
13,12,2,0,1,1,0
10,2,2,0,0,1,1
6,15,2,0,0,1,0
7,18,2,0,0,1,0
13,9,2,0,1,1,0
10,10,2,0,0,1,1
6,9,2,0,0,1,0
7,12,2,0,0,1,0
13,6,2,0,1,1,0
10,6,2,0,0,1,1
6,9,2,0,0,1,0
7,8,2,0,0,1,0
13,4,2,0,1,1,0
10,6,2,0,0,1,1
6,12,2,0,0,1,0
7,8,2,0,1,1,0
13,1,2,0,1,1,0
10,8,2,0,0,1,1
6,6,2,0,0,1,0
7,12,2,0,1,1,0
13,2,2,0,1,1,0
10,12,2,0,0,1,1
6,15,2,0,0,1,0
7,9,4,0,2,1,0
13,3,2,0,1,1,0
10,18,2,0,0,1,1
6,15,2,0,0,1,0
7,16,4,0,3,1,0
13,10,2,0,1,1,0
10,6,2,0,0,1,1
6,15,2,0,0,1,0
7,27,4,0,3,1,0
13,10,2,0,1,1,0
10,1,4,0,0,1,1
6,18,2,0,0,1,0
7,8,5,1,3,1,0
13,8,2,0,1,1,0
10,2,4,0,0,1,1
6,21,2,0,0,1,0
7,15,5,1,3,1,0
13,20,2,0,1,1,0
10,3,4,0,0,1,1
6,15,2,0,0,1,0
7,18,5,1,3,1,0
13,4,3,1,1,1,0
10,4,4,0,0,1,1
6,12,2,0,0,1,0
7,18,5,1,3,1,0
13,15,3,1,1,1,0
10,6,4,0,0,1,1
6,15,2,0,0,1,0
7,8,5,1,3,1,0
13,10,3,1,1,1,0
10,8,4,0,0,1,1
6,12,2,0,0,1,0
7,10,5,1,3,1,0
13,10,3,1,1,1,0
10,4,4,0,0,1,1
6,15,2,0,0,1,0
7,8,5,1,3,1,0
13,10,3,1,1,1,0
10,1,4,0,0,1,1
6,3,3,0,1,1,0
7,15,5,1,3,1,0
13,6,4,2,1,1,0
10,1,4,0,0,1,1
6,8,3,0,1,1,0
7,15,5,1,3,1,0
13,21,4,2,2,1,0
10,1,4,0,0,1,1
6,8,3,0,1,1,0
7,15,5,1,4,1,0
13,16,4,2,2,1,0
10,0,4,0,0,1,1
6,4,3,0,1,1,0
7,12,5,1,5,1,0
13,2,4,2,2,1,0
10,1,4,0,0,1,1
6,6,3,0,1,1,0
7,21,5,1,5,1,0
13,12,4,2,2,1,0
10,1,4,0,0,1,1
6,4,3,0,1,1,0
7,12,5,1,5,1,0
13,20,4,2,2,1,0
10,6,4,0,0,1,1
6,1,3,0,2,1,0
7,12,5,1,5,1,0
13,14,4,2,2,1,0
10,12,4,0,0,1,1
6,6,3,0,2,1,0
7,8,5,1,5,1,0
13,24,4,2,2,1,0
10,12,4,0,0,1,1
6,6,3,0,2,1,0
7,2,5,1,5,1,0
13,44,4,2,2,1,0
10,8,4,0,0,2,1
6,10,3,0,2,2,0
7,8,5,1,5,2,0
13,44,4,2,3,2,0
10,4,4,0,0,2,1
6,10,3,0,2,2,0
7,12,5,1,5,2,0
13,18,4,2,3,2,0
10,4,4,0,0,2,1
6,4,3,0,2,2,0
7,15,5,1,5,2,0
13,28,4,2,4,2,0
10,6,4,0,0,2,1
6,9,3,0,2,2,0
7,18,5,1,5,2,0
13,6,4,2,4,2,0
10,6,4,0,0,2,1
6,4,3,0,2,2,0
7,18,5,1,5,2,0
13,27,4,2,4,2,0
10,8,4,0,0,2,1
6,9,3,0,2,2,0
7,12,5,1,5,2,0
13,6,4,2,4,2,0
10,15,4,0,0,2,1
6,9,3,0,2,2,0
7,18,5,1,5,2,0
13,6,4,2,4,2,0
10,8,4,0,0,2,1
6,9,3,0,2,2,0
7,15,5,1,5,2,0
13,4,4,2,4,2,0
10,2,4,0,0,2,1
6,4,3,0,2,2,0
7,21,5,1,5,2,0
13,18,4,2,4,2,0
10,2,4,0,0,2,1
6,6,3,0,2,2,0
7,21,5,1,5,2,0
13,21,4,2,4,2,0
10,6,4,0,0,2,1
6,8,3,0,2,2,0
7,6,5,1,5,2,0
13,15,4,2,5,2,0
10,2,4,0,0,2,1
6,8,3,0,2,2,0
7,15,5,1,5,2,0
13,18,4,2,5,2,0
10,9,4,0,0,2,1
6,8,3,0,2,2,0
7,8,6,1,6,2,0
13,30,4,2,5,2,0
10,20,4,0,0,2,1
6,8,3,0,2,2,0
7,8,6,1,6,2,0
13,27,4,2,5,2,0
10,28,4,0,0,2,1
6,10,3,0,2,2,0
7,8,6,1,6,2,0
13,12,4,2,5,2,0
15,12,5,0,0,2,1
6,4,3,0,2,2,0
7,15,6,1,6,2,0
13,10,6,2,6,2,0
15,20,5,0,0,2,1
6,8,3,0,2,2,0
7,10,4,1,6,2,0
13,8,6,2,6,2,0
23,9,6,0,0,2,1
6,8,3,0,2,2,0
7,21,4,1,6,2,0
13,28,6,2,6,2,0
23,24,6,0,0,2,1
6,18,3,0,2,2,0
7,10,4,1,6,2,0
13,44,6,2,6,2,0
27,24,7,0,0,2,1
6,18,3,0,2,2,0
7,10,4,1,6,2,0
13,30,6,2,7,2,0
27,45,7,0,0,2,1
6,21,3,0,2,2,0
7,20,4,1,6,2,0
13,56,6,2,7,2,0
27,30,7,0,0,2,1
6,21,3,0,2,2,0
10,3,5,1,6,2,0
13,30,6,2,7,2,0
27,21,7,0,0,2,1
6,3,3,0,2,2,0
10,1,5,1,6,2,0
13,27,6,2,7,2,0
27,44,7,0,0,2,1
6,3,3,0,2,2,0
10,8,5,1,6,2,0
13,18,6,2,8,2,0
27,70,7,0,0,2,1
6,8,3,0,2,2,0
10,15,5,1,6,2,0
13,44,7,2,9,2,0
27,44,7,0,0,2,1
6,10,3,0,2,2,0
10,4,6,1,7,2,0
13,36,7,2,9,2,0
27,24,8,1,0,2,1
6,10,3,0,2,2,0
10,15,6,1,7,3,0
13,60,7,2,9,3,0
27,24,8,1,0,3,1
6,8,3,0,2,3,0
10,12,6,1,8,3,0
13,15,7,2,9,3,0
27,15,8,1,0,3,1
6,9,3,0,2,3,0
10,6,6,1,8,3,0
13,24,7,2,9,3,0
27,28,8,1,0,3,1
6,12,3,0,2,3,0
10,8,6,1,8,3,0
13,30,7,2,9,3,0
27,40,8,1,1,3,1
6,12,3,0,2,3,0
10,15,6,1,8,3,0
13,4,7,2,10,3,0
27,27,8,1,1,3,1
6,9,3,0,2,3,0
10,12,6,1,8,3,0
13,21,7,2,10,3,0
27,85,8,1,1,3,1
6,4,3,0,2,3,0
10,15,6,1,9,3,0
13,28,7,2,10,3,0
27,27,8,1,1,3,1
6,9,3,0,2,3,0
10,21,6,1,9,3,0
13,18,7,2,10,3,0
27,4,8,1,1,3,1
6,9,3,0,2,3,0
10,40,6,1,9,3,0
13,27,7,2,10,3,0
27,12,8,1,1,3,1
6,4,3,0,2,3,0
18,44,7,1,9,3,0
13,15,7,2,10,3,0
27,12,8,1,1,3,1
6,9,3,0,2,3,0
18,18,7,1,9,3,0
15,6,8,2,10,3,0
27,20,8,1,1,3,1
12,9,4,0,2,3,0
18,8,7,1,9,3,0
15,12,8,2,10,3,0
27,28,8,1,1,3,1
12,15,4,0,2,3,0
18,6,7,1,9,3,0
15,44,8,2,10,3,0
27,44,8,1,2,3,1
12,3,5,0,3,3,0
18,12,7,1,9,3,0
15,32,9,3,10,3,0
27,100,8,1,2,3,1
12,8,5,0,3,3,0
18,12,7,1,9,3,0
15,21,9,3,10,3,0
27,32,8,1,2,3,1
12,9,5,0,3,3,0
18,6,7,1,9,3,0
15,21,9,3,10,3,0
27,9,8,1,2,3,1
19,4,6,0,3,3,0
18,12,7,1,9,3,0
15,36,9,3,10,3,0
27,24,8,1,2,3,1
19,9,6,0,3,3,0
18,24,7,1,9,3,0
15,68,9,3,10,3,0
27,40,8,1,2,3,1
19,12,6,0,3,3,0
18,18,7,1,9,3,0
15,48,9,3,10,3,0
27,70,8,1,2,3,1
19,9,6,0,4,3,0
18,9,7,1,9,3,0
15,18,9,3,10,3,0
27,50,8,1,2,3,1
24,12,7,0,4,3,0
18,24,7,1,9,3,0
15,4,9,3,10,3,0
27,10,8,1,2,3,1
24,24,7,0,4,3,0
18,24,7,1,9,3,0
15,1,9,3,10,3,0
27,12,8,1,2,3,1
24,24,7,0,4,3,0
18,25,7,1,9,3,0
15,14,9,3,10,3,0
27,60,8,1,2,3,1
24,32,7,0,4,3,0
18,32,7,1,9,3,0
15,36,9,3,10,3,0
27,44,9,2,2,3,1
24,36,7,0,4,3,0
18,48,7,1,9,3,0
15,51,9,3,10,3,0
27,75,9,2,2,3,1
24,16,8,1,4,3,0
18,56,7,1,9,3,0
15,72,9,3,10,3,0
27,40,10,3,2,3,1
7,1,2,0,1,3,1
7,21,2,0,0,1,1
2,0,2,0,0,1,0
5,9,2,0,0,1,0
7,6,2,0,1,1,0
7,21,2,0,0,1,1
2,0,2,0,0,1,0
5,12,2,0,0,1,0
7,6,2,0,1,1,0
7,4,2,0,0,1,1
2,0,2,0,0,1,0
5,12,2,0,0,1,0
7,12,2,0,1,1,0
7,9,2,0,0,1,1
2,0,2,0,0,1,0
5,8,2,0,0,1,0
7,15,2,0,1,1,0
7,12,2,0,0,1,1
2,0,2,0,0,1,0
5,8,2,0,0,1,0
7,12,2,0,1,1,0
7,12,2,0,0,1,1
2,1,2,0,0,1,0
5,6,2,0,0,1,0
7,18,2,0,1,1,0
7,4,2,0,1,1,1
2,4,2,0,0,1,0
5,6,2,0,0,1,0
7,15,2,0,1,1,0
7,0,4,0,1,1,1
5,0,3,0,0,1,0
5,8,2,0,0,1,0
7,8,2,0,1,1,0
7,0,4,0,1,1,1
5,1,3,0,0,1,0
5,8,2,0,0,1,0
7,8,2,0,1,1,0
7,0,4,0,1,1,1
5,1,3,0,0,1,0
5,2,2,0,0,1,0
7,15,4,0,2,1,0
7,8,4,0,1,1,1
5,0,3,0,0,1,0
5,8,2,0,0,1,0
7,12,4,0,2,1,0
7,6,4,0,1,1,1
5,1,3,0,0,1,0
5,8,2,0,0,1,0
7,9,4,0,3,1,0
7,15,4,0,1,1,1
5,1,3,0,0,1,0
5,8,2,0,0,1,0
7,4,4,0,3,1,0
7,8,4,0,2,1,1
5,1,3,0,0,1,0
5,8,2,0,0,1,0
7,6,4,0,3,1,0
7,15,4,0,2,1,1
5,2,3,0,0,1,0
5,8,2,0,0,1,0
7,1,5,0,4,1,0
7,21,4,0,2,1,1
5,3,3,0,0,1,0
5,8,2,0,0,1,0
7,1,5,0,4,1,0
7,15,4,0,2,1,1
5,3,3,0,0,1,0
5,8,2,0,0,1,0
7,10,5,0,4,1,0
7,15,4,0,2,1,1
5,3,3,0,0,1,0
5,6,2,0,0,1,0
7,6,6,1,4,1,0
7,8,4,0,2,1,1
5,2,3,0,0,1,0
5,6,2,0,0,1,0
7,1,7,2,4,1,0
7,8,4,0,2,1,1
5,1,3,0,0,1,0
5,6,2,0,0,1,0
7,12,7,2,4,1,0
7,15,4,0,2,1,1
5,0,3,0,0,1,0
5,8,2,0,0,1,0
7,9,7,2,4,1,0
7,15,4,0,2,1,1
5,0,3,0,0,1,0
5,12,2,0,0,1,0
16,1,8,2,4,1,0
7,15,4,0,2,1,1
5,1,3,0,0,1,0
5,12,2,0,0,1,0
16,8,8,2,4,1,0
7,18,4,0,2,2,1
5,3,3,0,0,2,0
5,15,2,0,0,2,0
16,44,8,2,4,2,0
14,6,5,0,2,2,1
5,3,3,0,0,2,0
9,6,3,0,0,2,0
16,10,8,2,4,2,0
14,8,5,0,2,2,1
5,3,5,0,0,2,0
9,8,3,0,0,2,0
16,18,8,2,4,2,0
14,12,3,0,2,2,1
5,1,5,0,0,2,0
9,9,3,0,0,2,0
16,24,8,2,4,2,0
14,2,5,0,2,2,1
5,4,3,0,0,2,0
9,12,3,0,0,2,0
16,6,9,3,5,2,0
14,10,5,0,2,2,1
5,6,3,0,0,2,0
9,4,3,0,0,2,0
16,24,9,3,5,2,0
14,12,5,0,2,2,1
5,4,5,0,0,2,0
9,6,3,0,0,2,0
16,6,9,3,6,2,0
14,18,3,0,2,2,1
5,0,5,0,0,2,0
9,15,3,0,0,2,0
16,28,9,3,6,2,0
22,4,4,0,2,2,1
5,0,5,0,0,2,0
9,18,3,0,0,2,0
16,40,9,3,6,2,0
22,4,4,0,2,2,1
5,1,5,0,0,2,0
9,9,3,0,0,2,0
16,24,9,3,6,2,0
22,12,4,0,2,2,1
5,2,5,0,0,2,0
9,9,3,0,0,2,0
16,39,9,3,6,2,0
22,15,4,0,2,2,1
5,3,5,0,0,2,0
9,12,3,0,0,2,0
16,16,9,3,6,2,0
22,15,4,0,2,2,1
5,3,5,0,0,2,0
9,6,4,0,1,2,0
16,3,9,3,6,2,0
22,10,4,0,2,2,1
5,1,5,0,0,2,0
9,15,4,0,1,2,0
16,24,9,3,6,2,0
22,12,4,0,2,2,1
5,1,5,0,0,2,0
9,9,4,0,1,2,0
16,12,9,3,7,2,0
22,12,6,0,2,2,1
5,3,3,0,0,2,0
9,15,4,0,1,2,0
16,24,9,3,7,2,0
22,15,6,0,2,2,1
5,1,5,0,0,2,0
9,8,4,0,1,2,0
16,28,9,3,7,2,0
22,16,4,0,3,2,1
5,1,5,0,0,2,0
9,8,4,0,1,2,0
16,15,9,3,7,2,0
22,12,5,0,4,2,1
5,4,5,0,0,2,0
9,12,4,0,1,2,0
16,18,9,3,8,2,0
31,18,8,0,4,2,1
5,10,3,0,0,2,0
9,12,4,0,1,2,0
16,56,9,3,8,2,0
31,21,8,0,4,2,1
5,6,3,0,0,2,0
9,8,4,0,2,2,0
16,39,9,3,8,2,0
31,33,8,0,4,2,1
5,6,3,0,0,2,0
9,20,4,0,2,2,0
16,57,9,3,9,3,0
31,12,8,0,4,3,1
5,10,3,0,0,3,0
9,8,4,0,3,3,0
16,48,9,3,9,3,0
31,18,8,0,4,3,1
5,9,3,0,0,3,0
9,15,4,0,3,3,0
16,22,9,3,9,3,0
31,15,8,0,4,3,1
5,9,3,0,0,3,0
9,15,4,0,3,3,0
16,40,9,3,9,3,0
31,12,8,0,4,3,1
5,9,3,0,0,3,0
9,18,4,0,3,3,0
16,24,9,3,10,3,0
31,15,8,0,4,3,1
5,12,3,0,0,3,0
9,8,4,0,3,3,0
16,64,9,3,10,3,0
31,28,8,0,4,3,1
5,12,3,0,0,3,0
9,4,4,0,3,3,0
16,40,9,3,10,3,0
31,20,8,0,4,3,1
5,12,3,0,0,3,0
9,6,4,0,3,3,0
16,18,9,3,10,3,0
31,20,8,0,4,3,1
5,12,3,0,0,3,0
9,9,4,0,3,3,0
16,30,9,3,10,3,0
36,45,9,0,4,3,1
5,21,3,0,0,3,0
9,15,4,0,3,3,0
16,36,9,3,10,3,0
36,90,9,0,4,3,1
5,14,3,0,0,3,0
9,21,4,0,3,3,0
16,33,9,3,10,3,0
36,30,9,0,4,3,1
5,4,3,0,0,3,0
9,21,4,0,3,3,0
16,28,9,3,10,3,0
36,8,9,0,4,3,1
5,20,3,0,0,3,0
9,24,4,0,3,3,0
16,21,9,3,11,3,0
36,33,9,0,4,3,1
5,28,3,0,0,3,0
9,4,4,0,3,3,0
16,36,9,3,11,3,0
36,48,9,0,4,3,1
5,32,3,0,0,3,0
9,6,4,0,3,3,0
16,30,9,3,11,3,0
36,10,9,0,4,3,1
5,8,3,0,0,3,0
9,8,4,0,3,3,0
16,30,9,3,11,3,0
36,32,9,0,4,3,1
5,8,3,0,0,3,0
9,4,4,0,3,3,0
16,60,9,3,11,3,0
36,50,9,0,4,3,1
5,8,3,0,0,3,0
9,15,4,0,3,3,0
16,21,9,3,11,3,0
36,24,9,0,4,3,1
5,2,3,0,0,3,0
9,15,4,0,3,3,0
16,6,9,3,11,3,0
36,32,9,0,4,3,1
5,2,3,0,0,3,0
9,16,4,0,3,3,0
16,15,9,3,11,3,0
36,60,9,0,4,3,1
5,2,3,0,0,3,0
9,4,4,0,4,3,0
16,8,9,3,11,3,0
36,55,9,0,4,3,1
5,4,3,0,0,3,0
9,12,4,0,4,3,0
16,33,9,3,11,3,0
36,70,9,0,4,3,1
5,12,3,0,0,3,0
9,8,4,0,4,3,0
16,36,9,3,12,3,0
36,75,10,1,4,3,1
7,12,2,0,0,3,0
5,9,2,0,0,1,0
11,8,2,0,0,1,0
11,1,3,0,1,1,1
7,15,2,0,0,1,0
5,15,2,0,0,1,0
11,8,2,0,0,1,0
11,1,3,0,1,1,1
7,16,2,0,0,1,0
5,16,2,0,0,1,0
11,10,2,0,0,1,0
11,4,3,0,1,1,1
7,6,2,0,0,1,0
5,6,2,0,0,1,0
11,10,2,0,0,1,0
11,6,3,0,1,1,1
7,6,2,0,0,1,0
5,12,2,0,0,1,0
11,21,2,0,0,1,0
11,6,3,0,1,1,1
7,15,2,0,0,1,0
5,15,2,0,0,1,0
11,10,2,0,0,1,0
11,10,3,0,1,1,1
7,15,2,0,0,1,0
5,15,2,0,0,1,0
11,8,2,0,0,1,0
11,18,3,0,1,1,1
7,8,2,0,0,1,0
5,10,2,0,0,1,0
11,2,2,0,0,1,0
11,18,3,0,1,1,1
7,15,2,0,0,1,0
5,21,2,0,0,1,0
11,6,2,0,0,1,0
11,24,3,0,1,1,1
7,18,2,0,0,1,0
5,21,2,0,0,1,0
11,15,2,0,0,1,0
11,3,3,0,2,1,1
7,21,2,0,0,1,0
5,24,2,0,0,1,0
11,15,2,0,0,1,0
11,18,3,0,2,1,1
7,15,2,0,0,1,0
5,3,2,0,0,1,0
11,8,2,0,0,1,0
11,15,3,0,2,1,1
7,12,2,0,0,1,0
5,3,2,0,0,1,0
11,18,2,0,0,1,0
11,6,3,0,3,1,1
7,4,2,0,0,1,0
5,6,2,0,0,1,0
11,10,2,0,0,1,0
11,18,3,0,3,1,1
7,6,2,0,0,1,0
5,10,2,0,0,1,0
11,1,2,0,0,1,0
11,10,3,0,3,1,1
7,9,2,0,0,1,0
5,12,2,0,0,1,0
11,1,2,0,0,1,0
11,10,3,0,3,1,1
7,12,4,0,0,1,0
5,8,2,0,0,1,0
11,4,2,0,0,1,0
11,21,3,0,3,1,1
7,6,4,0,0,1,0
5,6,2,0,0,1,0
11,9,3,0,1,1,0
11,8,3,0,3,1,1
7,6,4,0,0,1,0
5,4,2,0,0,1,0
11,18,3,0,1,1,0
11,15,3,0,3,1,1
7,8,4,0,0,1,0
5,4,2,0,0,1,0
11,15,3,0,1,1,0
11,8,3,0,4,1,1
7,8,4,0,0,1,0
5,4,2,0,0,1,0
11,9,3,0,1,1,0
11,32,3,0,4,1,1
7,10,4,0,0,1,0
5,2,2,0,0,1,0
11,4,3,0,1,1,0
11,18,3,0,4,1,1
7,5,4,0,0,1,0
5,2,2,0,0,1,0
11,2,3,0,2,1,0
11,15,3,0,4,1,1
7,8,4,0,0,1,0
5,2,2,0,0,2,0
11,2,3,0,2,2,0
11,15,5,0,5,2,1
7,4,4,0,0,2,0
5,3,2,0,0,2,0
11,6,3,0,2,2,0
11,27,5,0,5,2,1
7,4,4,0,0,2,0
5,6,2,0,0,2,0
11,8,3,0,2,2,0
11,15,5,0,5,2,1
7,9,4,0,0,2,0
5,8,2,0,0,2,0
11,18,3,0,2,2,0
11,18,5,0,5,2,1
7,12,4,0,0,2,0
5,9,2,0,0,2,0
11,12,3,0,2,2,0
11,10,5,0,6,2,1
7,1,4,0,1,2,0
5,1,3,0,1,2,0
11,4,3,0,2,2,0
11,24,5,0,6,2,1
7,4,4,0,1,2,0
5,2,3,0,1,2,0
11,8,3,0,2,2,0
11,6,5,0,7,2,1
7,1,4,0,1,2,0
5,1,3,0,1,2,0
11,15,3,0,2,2,0
11,21,5,0,7,2,1
7,4,4,0,1,2,0
5,1,3,0,1,2,0
11,12,3,0,2,2,0
11,21,5,0,7,2,1
7,1,4,0,1,2,0
5,9,3,0,1,2,0
11,15,3,0,2,2,0
11,18,5,0,7,2,1
7,2,4,0,1,2,0
5,9,3,0,1,2,0
11,18,3,0,2,2,0
11,8,5,0,8,2,1
7,1,4,0,1,2,0
5,1,4,0,2,2,0
11,4,3,0,3,2,0
11,9,5,0,8,2,1
7,0,4,0,1,2,0
5,4,4,0,2,2,0
11,15,3,0,3,2,0
11,4,5,0,8,2,1
7,1,4,0,1,2,0
5,4,4,0,2,2,0
11,21,3,0,3,2,0
11,8,5,0,8,2,1
7,4,4,0,1,2,0
5,6,4,0,2,2,0
11,18,3,0,3,2,0
11,8,5,0,8,2,1
7,2,4,0,1,2,0
5,6,4,0,2,2,0
11,8,3,0,4,2,0
11,8,5,0,8,2,1
7,1,4,0,1,2,0
5,4,4,0,2,2,0
11,14,3,0,4,2,0
11,4,6,1,8,2,1
7,0,4,0,1,2,0
5,4,4,0,2,2,0
11,32,3,0,4,2,0
11,10,6,1,8,2,1
7,0,4,0,1,2,0
5,4,4,0,2,2,0
11,21,3,0,4,2,0
11,15,6,1,8,2,1
7,2,4,0,1,2,0
5,6,4,0,2,2,0
11,12,3,0,4,2,0
11,24,6,1,9,2,1
7,10,4,0,1,2,0
5,6,4,0,2,2,0
11,10,3,0,4,2,0
11,15,7,1,10,2,1
7,4,4,0,1,2,0
5,6,4,0,2,2,0
11,6,3,0,4,2,0
11,2,7,1,10,2,1
7,1,4,0,1,3,0
5,8,4,0,2,3,0
11,6,3,0,4,3,0
11,1,7,1,10,3,1
7,8,4,0,1,3,0
5,6,4,0,2,3,0
11,6,3,0,4,3,0
11,2,7,1,10,3,1
7,3,4,0,1,3,0
5,6,4,0,2,3,0
11,6,3,0,4,3,0
11,6,7,1,10,3,1
7,3,4,0,1,3,0
5,12,4,0,2,3,0
11,8,3,0,4,3,0
11,12,7,1,10,3,1
7,15,4,0,1,3,0
5,12,4,0,2,3,0
11,8,3,0,4,3,0
11,12,7,1,10,3,1
7,8,4,0,2,3,0
5,15,4,0,2,3,0
11,10,3,0,4,3,0
11,6,7,1,10,3,1
7,10,4,0,2,3,0
5,4,4,0,3,3,0
11,8,3,0,4,3,0
11,12,7,1,10,3,1
7,18,4,0,2,3,0
5,6,4,0,3,3,0
11,8,3,0,4,3,0
11,6,7,1,10,3,1
7,15,4,0,2,3,0
5,4,4,0,3,3,0
11,15,3,0,4,3,0
11,1,9,1,10,3,1
7,21,2,0,2,3,0
5,4,4,0,3,3,0
11,4,3,0,4,3,0
11,15,9,1,10,3,1
7,24,2,0,2,3,0
5,15,4,0,3,3,0
11,21,3,0,4,3,0
11,15,9,1,12,3,1
7,4,2,0,2,3,0
5,18,4,0,3,3,0
11,24,3,0,4,3,0
11,18,9,1,13,3,1
7,1,2,0,2,3,0
5,21,4,0,3,3,0
11,18,3,0,4,3,0
11,18,9,1,13,3,1
7,1,2,0,2,3,0
5,18,4,0,3,3,0
11,10,3,0,4,3,0
11,15,9,1,14,3,1
7,8,2,0,2,3,0
5,21,4,0,3,3,0
11,10,3,0,4,3,0
11,15,9,1,14,3,1
7,18,2,0,2,3,0
5,18,4,0,3,3,0
11,6,3,0,4,3,0
11,28,9,1,14,3,1
7,8,2,0,2,3,0
5,6,4,0,3,3,0
11,2,3,0,4,3,0
11,16,9,1,14,3,1
7,21,2,0,2,3,0
5,6,4,0,3,3,0
11,8,3,0,4,3,0
11,4,9,1,14,3,1
7,8,2,0,2,3,0
5,8,4,0,3,3,0
11,8,3,0,4,3,0
11,1,10,2,14,3,1
9,9,2,0,0,3,0
12,8,2,0,0,1,1
13,24,2,0,0,1,0
4,8,2,0,0,1,0
9,9,2,0,0,1,0
12,8,2,0,0,1,1
13,28,2,0,0,1,0
4,6,2,0,0,1,0
9,12,2,0,0,1,0
12,12,2,0,0,1,1
13,21,2,0,1,1,0
4,8,2,0,0,1,0
9,15,2,0,0,1,0
12,9,2,0,0,1,1
13,24,2,0,1,1,0
4,8,2,0,0,1,0
9,12,2,0,0,1,0
12,6,4,0,0,1,1
13,15,2,0,1,1,0
4,3,2,0,0,1,0
9,15,2,0,0,1,0
12,15,4,0,0,1,1
13,8,2,0,2,1,0
4,3,2,0,0,1,0
9,6,2,0,1,1,0
12,15,4,0,0,1,1
13,6,2,0,2,1,0
4,1,2,0,0,1,0
9,1,2,0,1,1,0
12,21,4,0,0,1,1
13,21,2,0,2,1,0
4,4,2,0,0,1,0
9,2,2,0,1,1,0
12,10,4,0,1,1,1
13,10,2,0,2,1,0
4,4,2,0,0,1,0
9,6,2,0,1,1,0
12,21,4,0,1,1,1
13,2,2,0,2,1,0
4,0,2,0,0,1,0
9,3,2,0,1,1,0
12,15,4,0,1,1,1
13,1,4,0,3,1,0
4,1,2,0,0,1,0
9,18,2,0,1,1,0
12,24,4,0,1,1,1
13,4,4,0,3,1,0
4,0,2,0,0,1,0
9,15,2,0,1,1,0
12,1,4,0,2,1,1
13,9,4,0,3,1,0
4,0,2,0,0,1,0
9,18,2,0,1,1,0
12,4,6,0,2,1,1
13,9,3,0,4,1,0
4,1,2,0,0,1,0
9,18,2,0,1,1,0
12,6,6,0,2,1,1
13,1,5,0,5,1,0
4,4,2,0,0,1,0
9,4,2,0,1,1,0
12,4,4,0,2,1,1
13,15,5,0,5,1,0
4,4,2,0,0,1,0
9,18,2,0,1,1,0
12,4,4,0,2,1,1
13,2,5,0,5,1,0
4,4,2,0,0,1,0
9,15,2,0,1,1,0
12,6,4,0,2,1,1
13,8,5,0,5,1,0
4,4,2,0,0,1,0
9,18,2,0,1,1,0
12,8,4,0,2,1,1
13,6,5,0,6,1,0
4,8,2,0,0,1,0
9,21,2,0,1,1,0
12,12,4,0,2,1,1
13,8,5,0,6,2,0
4,8,2,0,0,2,0
9,28,2,0,1,2,0
12,6,4,0,2,2,1
13,4,5,0,6,2,0
4,3,2,0,0,2,0
9,18,2,0,1,2,0
12,4,4,0,2,2,1
13,6,5,0,6,2,0
4,3,2,0,0,2,0
9,12,2,0,1,2,0
12,1,4,0,2,2,1
13,15,5,0,6,2,0
4,2,2,0,0,2,0
9,1,2,0,1,2,0
12,2,4,0,2,2,1
13,21,5,0,6,2,0
4,2,2,0,0,2,0
9,4,2,0,1,2,0
12,0,4,0,2,2,1
13,15,5,0,6,2,0
4,2,2,0,0,2,0
9,6,2,0,1,2,0
12,1,4,0,2,2,1
13,18,5,0,6,2,0
4,3,2,0,0,2,0
9,1,2,0,2,2,0
12,12,4,0,2,2,1
13,12,5,0,7,2,0
4,0,2,0,0,2,0
9,18,2,0,2,2,0
12,6,4,0,2,2,1
13,4,6,0,8,2,0
4,0,2,0,0,2,0
9,12,2,0,2,2,0
12,6,4,0,2,2,1
13,18,6,0,8,2,0
4,6,2,0,0,2,0
9,4,2,0,2,2,0
12,6,4,0,2,2,1
13,8,6,0,8,2,0
4,6,2,0,0,2,0
9,15,2,0,2,2,0
12,6,4,0,2,2,1
13,10,6,0,8,2,0
4,12,2,0,0,2,0
9,12,2,0,2,2,0
12,4,4,0,2,2,1
13,9,6,0,8,2,0
4,8,2,0,0,2,0
9,4,3,0,3,2,0
12,9,4,0,2,2,1
15,6,7,0,8,2,0
4,15,2,0,0,2,0
9,9,3,0,3,2,0
12,15,4,0,2,2,1
15,18,7,0,8,2,0
4,12,2,0,0,2,0
9,15,3,0,3,2,0
