R-Strength,H-Strength,VP,Cities,Dev,Round,Winner
11,4,4,2,1,2,0
2,0,2,0,1,2,0
9,8,7,2,6,2,1
20,27,7,0,3,2,0
11,4,4,2,1,2,0
2,0,2,0,1,2,0
9,12,7,2,6,2,1
20,24,7,0,4,2,0
11,15,4,2,1,3,0
2,0,2,0,1,3,0
9,8,7,2,6,3,1
20,15,7,0,4,3,0
11,12,4,2,1,3,0
2,4,2,0,1,3,0
9,4,7,2,6,3,1
20,12,7,0,5,3,0
11,12,4,2,1,3,0
2,1,3,0,2,3,0
9,8,7,2,6,3,1
26,6,8,0,5,3,0
11,4,4,2,1,3,0
2,1,3,0,2,3,0
9,10,7,2,6,3,1
26,15,8,0,5,3,0
11,4,4,2,1,3,0
2,0,3,0,2,3,0
9,8,7,2,6,3,1
26,8,8,0,6,3,0
11,6,4,2,1,3,0
2,1,3,0,2,3,0
9,15,7,2,6,3,1
26,20,8,0,6,3,0
11,12,4,2,1,3,0
2,0,3,0,2,3,0
9,18,7,2,6,3,1
26,24,8,0,6,3,0
11,4,4,2,1,3,0
2,0,3,0,2,3,0
9,50,7,2,6,3,1
34,20,9,0,6,3,0
11,6,4,2,1,3,0
2,1,3,0,2,3,0
14,21,8,2,7,3,1
34,28,9,0,6,3,0
11,4,4,2,2,3,0
2,1,3,0,2,3,0
14,28,9,3,7,3,1
34,15,9,0,7,3,0
11,18,4,2,2,3,0
2,4,3,0,2,3,0
14,8,9,3,7,3,1
34,18,9,0,7,3,0
11,18,4,2,2,3,0
2,8,3,0,2,3,0
14,14,9,3,7,3,1
34,21,9,0,7,3,0
11,6,4,2,2,3,0
2,4,3,0,2,3,0
14,28,9,3,7,3,1
34,92,9,0,7,3,0
11,9,4,2,2,3,0
2,9,3,0,2,3,0
14,27,10,3,8,3,1
13,6,2,0,0,3,0
8,15,2,0,0,1,0
10,6,2,0,0,1,1
6,1,2,0,0,1,0
13,6,2,0,0,1,0
8,12,2,0,0,1,0
10,15,2,0,0,1,1
6,1,2,0,0,1,0
13,9,2,0,0,1,0
8,21,2,0,0,1,0
10,20,2,0,0,1,1
6,2,2,0,0,1,0
13,8,2,0,0,1,0
8,12,2,0,0,1,0
10,8,2,0,0,1,1
6,2,2,0,0,1,0
13,15,2,0,0,1,0
8,8,2,0,0,1,0
10,18,2,0,0,1,1
6,2,2,0,0,1,0
13,18,2,0,0,1,0
8,1,2,0,1,1,0
10,12,2,0,0,1,1
6,2,2,0,0,1,0
13,15,2,0,1,1,0
8,8,2,0,1,1,0
10,8,2,0,0,1,1
6,1,2,0,0,1,0
13,18,2,0,1,1,0
8,6,2,0,1,1,0
10,6,2,0,0,1,1
6,4,2,0,0,1,0
13,8,2,0,2,1,0
8,10,2,0,1,1,0
10,8,4,0,0,1,1
6,4,2,0,0,1,0
13,3,4,0,2,1,0
8,10,2,0,1,1,0
14,6,3,0,0,1,1
6,1,2,0,0,1,0
13,15,4,0,2,1,0
8,6,2,0,1,1,0
14,15,3,0,0,1,1
6,4,2,0,0,1,0
13,12,5,0,3,1,0
8,8,2,0,1,1,0
14,21,3,0,0,1,1
6,8,2,0,0,1,0
13,18,5,0,3,1,0
8,6,2,0,1,1,0
14,12,3,0,0,1,1
6,1,2,0,0,1,0
13,9,5,0,3,1,0
8,3,2,0,1,2,0
14,15,3,0,0,2,1
6,0,2,0,0,2,0
13,2,5,0,3,2,0
8,3,2,0,1,2,0
14,24,3,0,0,2,1
6,1,2,0,0,2,0
13,18,5,0,3,2,0
8,8,2,0,1,2,0
14,24,3,0,0,2,1
6,1,2,0,0,2,0
13,24,5,0,3,2,0
8,8,2,0,1,2,0
14,10,4,0,1,2,1
6,8,2,0,0,2,0
13,15,5,0,3,2,0
8,0,3,1,1,2,0
14,9,4,0,1,2,1
6,8,2,0,0,2,0
13,15,5,0,3,2,0
8,3,3,1,1,2,0
14,6,4,0,2,2,1
6,8,2,0,0,2,0
13,12,5,0,3,2,0
8,2,3,1,1,2,0
14,32,4,0,2,2,1
6,8,2,0,0,2,0
13,1,6,0,4,2,0
8,1,3,1,1,2,0
14,18,4,0,2,2,1
